"Empresa Genera",Año,Mes,Planta,"Energia Punta","Energia Valle","Energia Noche","Potencia Gen Punta","Potencia Gen Valle","Potencia Gen Noche","Potencia Sist Punta","Potencia Sist Valle","Potencia Sist Noche","Fecha Max","Hora Max","Factor Carga","Consumo Diesel","Consumo Bun","Consumo Bun AZ","Consumo Otro","Consumo Lub","Gasto Diesel","Gasto Bun","Gasto Bun AZ","Gasto Otro","Gasto Lub"
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Febrero   ",GARABITO,5906650.93,10160552.994,5484858.088,192367.152,193506.891,172053.477,190038.418,190287.082,164207.57,03-02-0202,"Mar 1",0.1647,18067,0,4710086,0,17657,0,0,11160606.82,0,21968393.38
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Febrero   ","LA GARITA ",2735972.958,5164690.207,4057807.459,31516.264,38928.555,38180.801,18620.865,18649.582,23234.09,02-02-0202,"Mar 1",0.4449,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Febrero   ",GUÁPILES,9.213,0,0,0,0,0,-0.184,-0.103,-73.592,01-02-0202,"Mar 1",0.0000,57,0,0,0,0,35523.6,0,500,0,639431.6
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Febrero   ","MIRAVALLES I",6444183.401,11591448.794,12966282.202,48452.945,48502.652,48733.945,42279.262,41683.43,43056.98,28-02-0202,"Mar 1",1.0000,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Febrero   ","MIRAVALLES II",6450378.17,11597396.605,12766392.648,47878.414,47802.715,48032.207,46075.395,46076.645,45201.094,28-02-0202,"Mar 1",1.0000,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Febrero   ",ANGOSTURA,9230207.748,14314902.255,8925589.782,146961.125,137994.75,150947.031,90039.135,101584.093,117587.196,17-02-0202,"Mar 1",0.2684,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Febrero   ",ARENAL,20924365.373,37527888.013,38108961.667,162765.688,164147.594,161505.168,158927.551,160020.668,160945.039,01-02-0202,"Mar 1",0.8656,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Febrero   ","BOCA DE POZO",663197.24,1182171.112,1284734.143,4752.903,4755.516,4751.651,4739.312,4741.229,4738.551,08-02-0202,"Mar 1",0.9316,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Febrero   ",CACHÍ,7018674.983,12342191.074,6612966.924,114150.094,115762.312,107997.367,28608.342,49552.711,74564.008,16-02-0202,"Mar 1",0.2431,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Febrero   ",CARIBLANCO,2832258.366,4824673.979,2745308.333,44813.539,53875.336,41711.246,36642.674,26886.333,27313.735,16-02-0202,"Mar 1",0.1888,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Febrero   ","MIGUEL DENGO",22643459.984,40566762.588,41396125.781,175603.387,175836.914,175541.516,173742.297,174292.379,173267.566,18-02-0202,"Mar 1",0.8946,,,,,,,,,,
"COMPAÑIA NACIONAL DE FUERZA Y LUZ S.A.",2022,"Febrero   ",BRASIL,2265964.409,1395718.727,171394.924,24075.7,23054.18,20718.68,23191.111,20856.436,20718.684,11-02-0202,"Mar 1",0.2377,,,,,,,,,,
"COMPAÑIA NACIONAL DE FUERZA Y LUZ S.A.",2022,"Febrero   ",COTE,65802.687,149638.407,0,6293.48,6296.55,0,0,5643.391,0,11-02-0202,"Mar 1",0.0472,,,,,,,,,,
"COMPAÑIA NACIONAL DE FUERZA Y LUZ S.A.",2022,"Febrero   ","DANIEL GUTIÉRREZ",1552735,536893.897,631049.519,13938.77,10772.07,11408.17,11922.822,5835.217,8788.385,11-02-0202,"Mar 1",0.2012,,,,,,,,,,
"COMPAÑIA NACIONAL DE FUERZA Y LUZ S.A.",2022,"Febrero   ","EL ENCANTO",326415.096,598603.394,669993.251,5453.21,7479.73,8405.69,2514.599,2562.459,3611.528,11-02-0202,"Mar 1",0.2613,,,,,,,,,,
"COMPAÑIA NACIONAL DE FUERZA Y LUZ S.A.",2022,"Febrero   ",ELECTRIONA,293671.585,176965.143,144350.531,2808.61,2810.02,2798.24,2792.507,1126.925,2794.015,11-02-0202,"Mar 1",0.1571,,,,,,,,,,
